#100 6704 6 ST SW,#100 6704 6 ST SW,469,GJ,Calgary,Alberta,Canada,2023
#100 816 MCDOUGALL RD NE HOUSING,#100 816 MCDOUGALL RD NE,343,GJ,Calgary,Alberta,Canada,2023
4317 DOVERWOOD PL SE HOUSING,4323 WHITEHORN DR NE,76,GJ,Calgary,Alberta,Canada,2023
4318 DOVERWOOD PL SE HOUSING,4321 DOVERWOOD PL SE,109,GJ,Calgary,Alberta,Canada,2023
4319 & 4323 WHITEHORN DR NE HOUSING,4322 DOVERWOOD PL SE,155,GJ,Calgary,Alberta,Canada,2023
4321 DOVERWOOD PL SE HOUSING,4327 BOWNESS RD NW,109,GJ,Calgary,Alberta,Canada,2023
4322 DOVERWOOD PL SE HOUSING,4325 DOVERWOOD PL SE,153,GJ,Calgary,Alberta,Canada,2023
4325 & 4327 BOWNESS RD NW HOUSING,4326 DOVERWOOD PL SE,160,GJ,Calgary,Alberta,Canada,2023
4325 DOVERWOOD PL SE HOUSING,4331 WHITEHORN DR NE,120,GJ,Calgary,Alberta,Canada,2023
4326 DOVERWOOD PL SE HOUSING,4332 DOVERWOOD PL SE,183,GJ,Calgary,Alberta,Canada,2023
4327 & 4331 WHITEHORN DR NE HOUSING,4339 WHITEHORN DR NE,141,GJ,Calgary,Alberta,Canada,2023
4332 DOVERWOOD PL SE HOUSING,4336 DOVERWOOD PL SE,142,GJ,Calgary,Alberta,Canada,2023
4335 & 4339 WHITEHORN DR NE HOUSING,4347 WHITEHORN DR NE,147,GJ,Calgary,Alberta,Canada,2023
4336 DOVERWOOD PL SE HOUSING,4355 WHITEHORN DR NE,169,GJ,Calgary,Alberta,Canada,2023
4343 & 4347 WHITEHORN DR NE HOUSING,4363 WHITEHORN DR NE,116,GJ,Calgary,Alberta,Canada,2023
4351 & 4355 WHITEHORN DR NE HOUSING,444 ABADAN PL NE,113,GJ,Calgary,Alberta,Canada,2023
4359 & 4363 WHITEHORN DR NE HOUSING,4502 RICHMOND RD SW,163,GJ,Calgary,Alberta,Canada,2023
444 ABADAN PL NE HOUSING,4601 MEMORIAL DR SE,129,GJ,Calgary,Alberta,Canada,2023
4500 & 4502 RICHMOND RD SW HOUSING,4605 MEMORIAL DR SE,156,GJ,Calgary,Alberta,Canada,2023
4601 MEMORIAL DR SE HOUSING,4611 MEMORIAL DR SE,148,GJ,Calgary,Alberta,Canada,2023
4605 MEMORIAL DR SE HOUSING,461 23 AV NE,142,GJ,Calgary,Alberta,Canada,2023
4611 MEMORIAL DR SE HOUSING,4615 MEMORIAL DR SE,130,GJ,Calgary,Alberta,Canada,2023
461 23 AV NE HOUSING,4617 MEMORIAL DR SE,282,GJ,Calgary,Alberta,Canada,2023
4615 MEMORIAL DR SE HOUSING,4623 MEMORIAL DR SE,151,GJ,Calgary,Alberta,Canada,2023
4617 MEMORIAL DR SE HOUSING,4625 MEMORIAL DR SE,100,GJ,Calgary,Alberta,Canada,2023
4623 MEMORIAL DR SE HOUSING,4631 MEMORIAL DR SE,174,GJ,Calgary,Alberta,Canada,2023
4625 MEMORIAL DR SE HOUSING,4633 MEMORIAL DR SE,150,GJ,Calgary,Alberta,Canada,2023
4631 MEMORIAL DR SE HOUSING,4637 MEMORIAL DR SE,153,GJ,Calgary,Alberta,Canada,2023
4633 MEMORIAL DR SE HOUSING,4641 MEMORIAL DR SE,137,GJ,Calgary,Alberta,Canada,2023
4637 MEMORIAL DR SE HOUSING,4645 MEMORIAL DR SE,114,GJ,Calgary,Alberta,Canada,2023
4641 MEMORIAL DR SE HOUSING,48 DEER RIDGE WY SE,186,GJ,Calgary,Alberta,Canada,2023
4645 MEMORIAL DR SE HOUSING,4651 MEMORIAL DR SE,139,GJ,Calgary,Alberta,Canada,2023
46 & 48 DEER RIDGE WY SE HOUSING,465 23 AV NE,197,GJ,Calgary,Alberta,Canada,2023
4651 MEMORIAL DR SE HOUSING,47 RADCLIFFE CL SE,74,GJ,Calgary,Alberta,Canada,2023
465 23 AV NE HOUSING,4829 60 ST NE,257,GJ,Calgary,Alberta,Canada,2023
47 RADCLIFFE CL SE HOUSING,4847 DALTON DR NW,531,GJ,Calgary,Alberta,Canada,2023
4829 & 4831 60 ST NE HOUSING,4848 DALTON DR NW,197,GJ,Calgary,Alberta,Canada,2023
4847 DALTON DR NW HOUSING,48 ABERGALE CL NE,2521,GJ,Calgary,Alberta,Canada,2023
4848 DALTON DR NW HOUSING,48 ABINGDON CR NE,2158,GJ,Calgary,Alberta,Canada,2023
48 ABERGALE CL NE HOUSING,48 CEDARWOOD RI SW,866,GJ,Calgary,Alberta,Canada,2023
48 ABINGDON CR NE HOUSING,49 CASTLERIDGE DR NE,84,GJ,Calgary,Alberta,Canada,2023
48 CEDARWOOD RI SW HOUSING,51 FONDA DR SE,173,GJ,Calgary,Alberta,Canada,2023
49 & 51 CASTLERIDGE DR NE HOUSING,4 RADCLIFFE CO SE,159,GJ,Calgary,Alberta,Canada,2023
49 & 51 FONDA DR SE HOUSING,503 ABADAN PL NE,174,GJ,Calgary,Alberta,Canada,2023
4 RADCLIFFE CO SE HOUSING,507 ABADAN PL NE,251,GJ,Calgary,Alberta,Canada,2023
501 & 503 ABADAN PL NE HOUSING,#50-55 2730 19 AV SE,187,GJ,Calgary,Alberta,Canada,2023
505 & 507 ABADAN PL NE HOUSING,508 72 AV NW,184,GJ,Calgary,Alberta,Canada,2023
#50-55 2730 19 AV SE HOUSING,511 ABADAN PL NE,257,GJ,Calgary,Alberta,Canada,2023
508 72 AV NW HOUSING,511 ABALONE PL NE,1497,GJ,Calgary,Alberta,Canada,2023
509 & 511 ABADAN PL NE HOUSING,515 ABADAN PL NE,169,GJ,Calgary,Alberta,Canada,2023
511 ABALONE PL NE HOUSING,519 ABADAN PL NE,65,GJ,Calgary,Alberta,Canada,2023
513 & 515 ABADAN PL NE HOUSING,519 ABALONE PL NE,159,GJ,Calgary,Alberta,Canada,2023
517 & 519 ABADAN PL NE HOUSING,520 RADLEY WY SE,175,GJ,Calgary,Alberta,Canada,2023
519 ABALONE PL NE HOUSING,523 ABADAN PL NE,70,GJ,Calgary,Alberta,Canada,2023
520 RADLEY WY SE HOUSING,5226 19 AV NW,194,GJ,Calgary,Alberta,Canada,2023
521 & 523 ABADAN PL NE HOUSING,5232 19 AV NW,241,GJ,Calgary,Alberta,Canada,2023
5226 19 AV NW HOUSING,5234 19 AV NW,183,GJ,Calgary,Alberta,Canada,2023
5230 19 AV NW HOUSING,5241 19 AV NW,145,GJ,Calgary,Alberta,Canada,2023
5234 19 AV NW HOUSING,5242 19 AV NW,161,GJ,Calgary,Alberta,Canada,2023
5241 19 AV NW HOUSING,5245 19 AV NW,188,GJ,Calgary,Alberta,Canada,2023
5242 19 AV NW HOUSING,5247 19 AV NW,192,GJ,Calgary,Alberta,Canada,2023
5245 19 AV NW HOUSING,5253 19 AV NW,208,GJ,Calgary,Alberta,Canada,2023
5247 19 AV NW HOUSING,5255 19 AV NW,237,GJ,Calgary,Alberta,Canada,2023
5253 19 AV NW HOUSING,527 ABADAN PL NE,186,GJ,Calgary,Alberta,Canada,2023
5255 19 AV NW HOUSING,5259 19 AV NW,232,GJ,Calgary,Alberta,Canada,2023
525 & 527 ABADAN PL NE HOUSING,5263 19 AV NW,120,GJ,Calgary,Alberta,Canada,2023
5259 19 AV NW HOUSING,5267 19 AV NW,219,GJ,Calgary,Alberta,Canada,2023
5263 19 AV NW HOUSING,529 RADLEY WY SE,177,GJ,Calgary,Alberta,Canada,2023
5267 19 AV NW HOUSING,56 RADCLIFFE CR SE,214,GJ,Calgary,Alberta,Canada,2023
527-535 RADLEY WY SE HOUSING,55 FONDA DR SE,352,GJ,Calgary,Alberta,Canada,2023
52 RADCLIFFE CO SE HOUSING,53 ERIN RIDGE RD SE,307,GJ,Calgary,Alberta,Canada,2023
53 & 55 FONDA DR SE HOUSING,56 DEER RIDGE WY SE,130,GJ,Calgary,Alberta,Canada,2023
53 ERIN RIDGE RD SE HOUSING,55 ERIN DALE CR SE,135,GJ,Calgary,Alberta,Canada,2023
54 & 56 DEER RIDGE WY SE HOUSING,56 CASTLEBROOK WY NE,114,GJ,Calgary,Alberta,Canada,2023
55 ERIN DALE CR SE HOUSING,5717 2 ST SW,117,GJ,Calgary,Alberta,Canada,2023
56 CASTLEBROOK WY NE HOUSING,5719 68 ST NE,72,GJ,Calgary,Alberta,Canada,2023
56 RADCLIFFE CR SE HOUSING,5723 68 ST NE,245,GJ,Calgary,Alberta,Canada,2023
5717 2 ST SW HOUSING,5727 68 ST NE,4594,GJ,Calgary,Alberta,Canada,2023
5719 & 5721 68 ST NE HOUSING,5731 68 ST NE,190,GJ,Calgary,Alberta,Canada,2023
5723 & 5725 68 ST NE HOUSING,5735 68 ST NE,209,GJ,Calgary,Alberta,Canada,2023
5727 & 5729 68 ST NE HOUSING,5743 68 ST NE,199,GJ,Calgary,Alberta,Canada,2023
5731 & 5733 68 ST NE HOUSING,59 CASTLEPARK RD NE,193,GJ,Calgary,Alberta,Canada,2023
5735 & 5737 68 ST NE HOUSING,59 FONDA DR SE,183,GJ,Calgary,Alberta,Canada,2023
5743 & 5745 68 ST NE HOUSING,7 CASTLEPARK WY NE,168,GJ,Calgary,Alberta,Canada,2023
5757 2 ST SW HOUSING,59 BERKLEY WY NW,6585,GJ,Calgary,Alberta,Canada,2023
57 & 59 CASTLEPARK RD NE HOUSING,#60-65 2730 19 AV SE,167,GJ,Calgary,Alberta,Canada,2023
57 & 59 FONDA DR SE HOUSING,60 CASTLERIDGE DR NE,151,GJ,Calgary,Alberta,Canada,2023
5 & 7 CASTLEPARK WY NE HOUSING,6111 BOWNESS RD NW,146,GJ,Calgary,Alberta,Canada,2023
59 BERKLEY WY NW HOUSING,6123 BOWNESS RD NW,3242,GJ,Calgary,Alberta,Canada,2023
#60-65 2730 19 AV SE HOUSING,63 CASTLEPARK RD NE,203,GJ,Calgary,Alberta,Canada,2023
60 CASTLERIDGE DR NE HOUSING,63 FONDA DR SE,96,GJ,Calgary,Alberta,Canada,2023
6111 BOWNESS RD NW HOUSING,61 ABERDARE RD NE,1488,GJ,Calgary,Alberta,Canada,2023
6123 BOWNESS RD NW HOUSING,6236 BOWNESS RD NW,675,GJ,Calgary,Alberta,Canada,2023
61 & 63 CASTLEPARK RD NE HOUSING,6303 CENTRE ST NW,215,GJ,Calgary,Alberta,Canada,2023
61 & 63 FONDA DR SE HOUSING,6504 35 AV NW,144,GJ,Calgary,Alberta,Canada,2023
61 ABERDARE RD NE HOUSING,67 CASTLEPARK RD NE,90,GJ,Calgary,Alberta,Canada,2023
6236 BOWNESS RD NW HOUSING,67 FONDA DR SE,588,GJ,Calgary,Alberta,Canada,2023
6301-6307 CENTRE ST NW HOUSING,6803 CENTRE ST NW,252,GJ,Calgary,Alberta,Canada,2023
6504 35 AV NW HOUSING,6835 CENTRE ST NW,619,GJ,Calgary,Alberta,Canada,2023
65 & 67 CASTLEPARK RD NE HOUSING,68 ABINGDON CO NE,157,GJ,Calgary,Alberta,Canada,2023
65 & 67 FONDA DR SE HOUSING,68 ERIN RIDGE RD SE,129,GJ,Calgary,Alberta,Canada,2023
6803 CENTRE ST NW HOUSING,8 FALMEAD PL NE,1489,GJ,Calgary,Alberta,Canada,2023
6835 CENTRE ST NW HOUSING,6900 RANCHERO RD NW,999,GJ,Calgary,Alberta,Canada,2023
68 ABINGDON CO NE HOUSING,71 CASTLEPARK RD NE,112,GJ,Calgary,Alberta,Canada,2023
68 ERIN RIDGE RD SE HOUSING,71 FONDA DR SE,103,GJ,Calgary,Alberta,Canada,2023
6 & 8 FALMEAD PL NE HOUSING,7003 24 ST SE,161,GJ,Calgary,Alberta,Canada,2023
6900 RANCHERO RD NW HOUSING,7005 24 ST SE,1589,GJ,Calgary,Alberta,Canada,2023
69 & 71 CASTLEPARK RD NE HOUSING,#70-75 2730 19 AV SE,188,GJ,Calgary,Alberta,Canada,2023
69 & 71 FONDA DR SE HOUSING,70 ERIN RIDGE RD SE,141,GJ,Calgary,Alberta,Canada,2023
7001 & 7003 24 ST SE HOUSING,11 DEERPOINT RD SE,142,GJ,Calgary,Alberta,Canada,2023
7005 & 7007 24 ST SE HOUSING,#7-12 15 NORQUAY CO NW,100,GJ,Calgary,Alberta,Canada,2023
#70-73 2730 19 AV SE HOUSING,72 ABERGALE CL NE,210,GJ,Calgary,Alberta,Canada,2023
70 ERIN RIDGE RD SE HOUSING,72 FALTON RI NE,86,GJ,Calgary,Alberta,Canada,2023
7 & 11 DEERPOINT RD SE HOUSING,72 PENWORTH CL SE,144,GJ,Calgary,Alberta,Canada,2023
#7-12 15 NORQUAY CO NW HOUSING,75 CASTLEPARK RD NE,475,GJ,Calgary,Alberta,Canada,2023
72 ABERGALE CL NE HOUSING,75 FONDA DR SE,744,GJ,Calgary,Alberta,Canada,2023
72 FALTON RI NE HOUSING,74 FALCONRIDGE PL NE,101,GJ,Calgary,Alberta,Canada,2023
72 PENWORTH CL SE HOUSING,7503 BOWNESS RD NW,80,GJ,Calgary,Alberta,Canada,2023
73 & 75 CASTLEPARK RD NE HOUSING,750 5 ST SE,192,GJ,Calgary,Alberta,Canada,2023
73 & 75 FONDA DR SE HOUSING,7507 BOWNESS RD NW,126,GJ,Calgary,Alberta,Canada,2023
74 & 76 FALCONRIDGE PL NE HOUSING,7511 BOWNESS RD NW,194,GJ,Calgary,Alberta,Canada,2023
7503 BOWNESS RD NW HOUSING,7515 BOWNESS RD NW,132,GJ,Calgary,Alberta,Canada,2023
750 5 ST SE HOUSING,7521 BOWNESS RD NW,13408,GJ,Calgary,Alberta,Canada,2023
7507 BOWNESS RD NW HOUSING,7525 BOWNESS RD NW,162,GJ,Calgary,Alberta,Canada,2023
7511 BOWNESS RD NW HOUSING,7529 BOWNESS RD NW,208,GJ,Calgary,Alberta,Canada,2023
7513 BOWNESS RD NW HOUSING,7533 BOWNESS RD NW,158,GJ,Calgary,Alberta,Canada,2023
7521 BOWNESS RD NW HOUSING,7537 BOWNESS RD NW,145,GJ,Calgary,Alberta,Canada,2023
7527 BOWNESS RD NW HOUSING,7541 BOWNESS RD NW,95,GJ,Calgary,Alberta,Canada,2023
7529 BOWNESS RD NW HOUSING,7545 BOWNESS RD NW,179,GJ,Calgary,Alberta,Canada,2023
7533 BOWNESS RD NW HOUSING,75 LINCOLN WY SW,175,GJ,Calgary,Alberta,Canada,2023
7537 BOWNESS RD NW HOUSING,7602 26A ST SE,167,GJ,Calgary,Alberta,Canada,2023
7541 BOWNESS RD NW HOUSING,7603 27 ST SE,250,GJ,Calgary,Alberta,Canada,2023
7545 BOWNESS RD NW HOUSING,7606 26A ST SE,167,GJ,Calgary,Alberta,Canada,2023
75 LINCOLN WY SW HOUSING,7609 27 ST SE,2302,GJ,Calgary,Alberta,Canada,2023
7602 26A ST SE HOUSING,7611 27 ST SE,188,GJ,Calgary,Alberta,Canada,2023
7603 27 ST SE HOUSING,7612 26A ST SE,185,GJ,Calgary,Alberta,Canada,2023
7606 26A ST SE HOUSING,7616 26A ST SE,142,GJ,Calgary,Alberta,Canada,2023
7609 27 ST SE HOUSING,7617 27 ST SE,140,GJ,Calgary,Alberta,Canada,2023
7611 27 ST SE HOUSING,7618 26A ST SE,126,GJ,Calgary,Alberta,Canada,2023
7612 26A ST SE HOUSING,7619 27 ST SE,164,GJ,Calgary,Alberta,Canada,2023
7616 26A ST SE HOUSING,7623 27 ST SE,160,GJ,Calgary,Alberta,Canada,2023
7617 27 ST SE HOUSING,7624 26A ST SE,183,GJ,Calgary,Alberta,Canada,2023
7618 26A ST SE HOUSING,7626 26A ST SE,176,GJ,Calgary,Alberta,Canada,2023
7619 27 ST SE HOUSING,7627 27 ST SE,124,GJ,Calgary,Alberta,Canada,2023
7623 27 ST SE HOUSING,7629 26A ST SE,100,GJ,Calgary,Alberta,Canada,2023
7624 26A ST SE HOUSING,7630 23 ST SE,171,GJ,Calgary,Alberta,Canada,2023
7626 26A ST SE HOUSING,7631 26A ST SE,163,GJ,Calgary,Alberta,Canada,2023
7627 27 ST SE HOUSING,7631 27 ST SE,163,GJ,Calgary,Alberta,Canada,2023
7629 26A ST SE HOUSING,7632 26A ST SE,134,GJ,Calgary,Alberta,Canada,2023
7630 & 7632 23 ST SE HOUSING,7634 23 ST SE,135,GJ,Calgary,Alberta,Canada,2023
7631 26A ST SE HOUSING,7635 26A ST SE,165,GJ,Calgary,Alberta,Canada,2023
7631 27 ST SE HOUSING,7636 26A ST SE,119,GJ,Calgary,Alberta,Canada,2023
7632 26A ST SE HOUSING,7639 26A ST SE,144,GJ,Calgary,Alberta,Canada,2023
7634 & 7636 23 ST SE HOUSING,7639 27 ST SE,157,GJ,Calgary,Alberta,Canada,2023
7635 26A ST SE HOUSING,7640 26A ST SE,110,GJ,Calgary,Alberta,Canada,2023
7636 26A ST SE HOUSING,7645 26A ST SE,150,GJ,Calgary,Alberta,Canada,2023
7639 26A ST SE HOUSING,7645 27 ST SE,168,GJ,Calgary,Alberta,Canada,2023
7639 27 ST SE HOUSING,76 ABINGDON WY NE,96,GJ,Calgary,Alberta,Canada,2023
7640 26A ST SE HOUSING,76 CASTLEDALE WY NE,161,GJ,Calgary,Alberta,Canada,2023
7645 26A ST SE HOUSING,76 CEDARWOOD HL SW,169,GJ,Calgary,Alberta,Canada,2023
7645 27 ST SE HOUSING,7701 BOWNESS RD NW,183,GJ,Calgary,Alberta,Canada,2023
76 ABINGDON WY NE HOUSING,7705 BOWNESS RD NW,84,GJ,Calgary,Alberta,Canada,2023
76 CASTLEDALE WY NE HOUSING,7709 BOWNESS RD NW,103,GJ,Calgary,Alberta,Canada,2023
76 CEDARWOOD HL SW HOUSING,7713 BOWNESS RD NW,255,GJ,Calgary,Alberta,Canada,2023
7701 BOWNESS RD NW HOUSING,7717 BOWNESS RD NW,66,GJ,Calgary,Alberta,Canada,2023
7705 BOWNESS RD NW HOUSING,7721 BOWNESS RD NW,216,GJ,Calgary,Alberta,Canada,2023
7709 BOWNESS RD NW HOUSING,77 ABERDARE RD NE,170,GJ,Calgary,Alberta,Canada,2023
7713 BOWNESS RD NW HOUSING,7801 24 ST SE,169,GJ,Calgary,Alberta,Canada,2023
7717 BOWNESS RD NW HOUSING,7805 24 ST SE,186,GJ,Calgary,Alberta,Canada,2023
7721 BOWNESS RD NW HOUSING,7809 24 ST SE,159,GJ,Calgary,Alberta,Canada,2023
77 ABERDARE RD NE HOUSING,7813 24 ST SE,88,GJ,Calgary,Alberta,Canada,2023
7801 & 7803 24 ST SE HOUSING,7817 24 ST SE,142,GJ,Calgary,Alberta,Canada,2023
7805 & 7807 24 ST SE HOUSING,7821 24 ST SE,95,GJ,Calgary,Alberta,Canada,2023
7809 & 7811 24 ST SE HOUSING,78 CASTLEDALE WY NE,152,GJ,Calgary,Alberta,Canada,2023
7813 & 7815 24 ST SE HOUSING,80 ERIN MOUNT CR SE,125,GJ,Calgary,Alberta,Canada,2023
7817 & 7819 24 ST SE HOUSING,84 DEER RIDGE WY SE,148,GJ,Calgary,Alberta,Canada,2023
7821 & 7823 24 ST SE HOUSING,83 ABALONE WY NE,173,GJ,Calgary,Alberta,Canada,2023
78 CASTLEDALE WY NE HOUSING,83 ERIN WOODS PL SE,58,GJ,Calgary,Alberta,Canada,2023
80-84 ERIN MOUNT CR SE HOUSING,8402 CENTRE ST NE,221,GJ,Calgary,Alberta,Canada,2023
#8-13 7000 RANCHERO RD NW HOUSING,8519 BOWNESS RD NW,383,GJ,Calgary,Alberta,Canada,2023
82 & 84 DEER RIDGE WY SE HOUSING,88 DEER RIDGE WY SE,141,GJ,Calgary,Alberta,Canada,2023
83 ABALONE WY NE HOUSING,86 ERIN MOUNT CR SE,79,GJ,Calgary,Alberta,Canada,2023
83 ERIN WOODS PL SE HOUSING,86 ERIN RIDGE RD SE,58,GJ,Calgary,Alberta,Canada,2023
8402 & 8404 CENTRE ST NE HOUSING,87 ABINGDON WY NE,216,GJ,Calgary,Alberta,Canada,2023
8519 BOWNESS RD NW HOUSING,89 FALWORTH WY NE,187,GJ,Calgary,Alberta,Canada,2023
86 & 88 DEER RIDGE WY SE HOUSING,92 ERIN RIDGE RD SE,226,GJ,Calgary,Alberta,Canada,2023
86-92 ERIN MOUNT CR SE HOUSING,96 CASTLEDALE WY NE,265,GJ,Calgary,Alberta,Canada,2023
86 ERIN RIDGE RD SE HOUSING,9960 BONAVENTURE DR SE,129,GJ,Calgary,Alberta,Canada,2023
87 ABINGDON WY NE HOUSING,9 ERIN RIDGE RD SE,86,GJ,Calgary,Alberta,Canada,2023
89 FALWORTH WY NE HOUSING,159 ABALONE CR NE,121,GJ,Calgary,Alberta,Canada,2023
92 ERIN RIDGE RD SE HOUSING,360 40 AV NW,82,GJ,Calgary,Alberta,Canada,2023
96 CASTLEDALE WY NE HOUSING,83 APPLEWOOD DR SE,72,GJ,Calgary,Alberta,Canada,2023
9960 BONAVENTURE DR SE HOUSING,15 4 ST NE,1397,GJ,Calgary,Alberta,Canada,2023
9 ERIN RIDGE RD SE HOUSING,14812 BANNISTER RD SE,101,GJ,Calgary,Alberta,Canada,2023
ABBEYDALE 3,1330 BERKLEY DR NW,1253,GJ,Calgary,Alberta,Canada,2023
ALBERTA HOUSING PROJECT,736 MCDOUGALL CO NE,634,GJ,Calgary,Alberta,Canada,2023
APPLEWOOD LANE,2375 162 AV SW,3570,GJ,Calgary,Alberta,Canada,2023
ARMOUR BLOCK,2611 106 AV SW,1888,GJ,Calgary,Alberta,Canada,2023
BANNISTER MANOR,1820 14 AV NE,4218,GJ,Calgary,Alberta,Canada,2023
BEDDINGTON PHASE 2,6624 CENTRE ST SE,3606,GJ,Calgary,Alberta,Canada,2023
BRIDGELAND PLACE,2425 69 AV SE,4138,GJ,Calgary,Alberta,Canada,2023
BRIDLEWOOD AFFORDABLE HOUSING,48 MCHUGH CO NE,201,GJ,Calgary,Alberta,Canada,2023
CEDARBRAE 2,123 DEERFIELD DR SE,1526,GJ,Calgary,Alberta,Canada,2023
CEDAR COURT GARDENS,55 DEERPOINT RD SE,1734,GJ,Calgary,Alberta,Canada,2023
CHC SOUTH DISTRICT OFFICE,26 CASTLERIDGE DR NE,940,GJ,Calgary,Alberta,Canada,2023
CRESTWOOD AFFORDABLE HOUSING,55 EDGEBURN CR NW,3291,GJ,Calgary,Alberta,Canada,2023
CROSSROADS GARDENS - 48 MCHUGH CO NE,12 ERIN DALE CR SE,971,GJ,Calgary,Alberta,Canada,2023
DEERFIELD VILLAS,293 ERIN WOODS DR SE,1562,GJ,Calgary,Alberta,Canada,2023
DEERPOINT GARDENS,1260 FALCONRIDGE DR NE,2641,GJ,Calgary,Alberta,Canada,2023
DUPLEX - 26 & 28 CASTLERIDGE DR NE,3805 47 ST SW,173,GJ,Calgary,Alberta,Canada,2023
EDGEBURN GARDENS,5320 35 AV SW,6356,GJ,Calgary,Alberta,Canada,2023
ERINDALE COURT,3206 30A AV SE,109,GJ,Calgary,Alberta,Canada,2023
ERIN WOODS,7519 BOWNESS RD NW,4807,GJ,Calgary,Alberta,Canada,2023
FALCONRIDGE TOWNHOUSES,2029 36 ST SE,3451,GJ,Calgary,Alberta,Canada,2023
GLENBROOK CO-OP COURT - 3805 47 ST SW,1636 16A ST SE,2154,GJ,Calgary,Alberta,Canada,2023
GLENBROOK CO-OP COURT - 3905 47 ST SW,4405 RICHARDSON WY SW,1808,GJ,Calgary,Alberta,Canada,2023
GLENBROOK HOUSING,4414 RICHARDSON RD SW,3511,GJ,Calgary,Alberta,Canada,2023
INACTIVE - 3206 30A AV SE HOUSING,4433 RICHARDSON WY SW,10,GJ,Calgary,Alberta,Canada,2023
INACTIVE - 7517 BOWNESS RD NW HOUSING,4448 RICHARDSON RD SW,72,GJ,Calgary,Alberta,Canada,2023
INACTIVE - RESIDENTIAL - 2029 36 ST SE,4467 RICHARDSON WY SW,95,GJ,Calgary,Alberta,Canada,2023
INGLEWOOD TOWNHOUSES,4478 RICHARDSON RD SW,1276,GJ,Calgary,Alberta,Canada,2023
LINCOLN PARK - 4405-4431 RICHARDSON WY SW HOUSING,4501 RICHARDSON WY SW,555,GJ,Calgary,Alberta,Canada,2023
LINCOLN PARK - 4414-4440 RICHARDSON RD SW HOUSING,4514 RICHARDSON RD SW,495,GJ,Calgary,Alberta,Canada,2023
LINCOLN PARK - 4433-4463 RICHARDSON WY SW HOUSING,4538 RICHARDSON RD SW,649,GJ,Calgary,Alberta,Canada,2023
LINCOLN PARK - 4448-4470 RICHARDSON RD SW HOUSING,1719 10 ST SW,476,GJ,Calgary,Alberta,Canada,2023
LINCOLN PARK - 4467-4497 RICHARDSON WY SW HOUSING,872 4 AV SW,469,GJ,Calgary,Alberta,Canada,2023
LINCOLN PARK - 4478-4488 RICHARDSON RD SW HOUSING,400 MACEWAN DR NW,196,GJ,Calgary,Alberta,Canada,2023
LINCOLN PARK - 4501-4523 RICHARDSON WY SW HOUSING,120 MCKENNA CR SE,206,GJ,Calgary,Alberta,Canada,2023
LINCOLN PARK - 4514-4536 RICHARDSON RD SW HOUSING,3500 VARSITY DR NW,362,GJ,Calgary,Alberta,Canada,2023
LINCOLN PARK - 4538-4564 RICHARDSON RD SW HOUSING,4525 MONTGOMERY AV NW,203,GJ,Calgary,Alberta,Canada,2023
LONDON HOUSE,1121 15 AV SW,622,GJ,Calgary,Alberta,Canada,2023
LOUISE STATION,2525 98 AV SW,4836,GJ,Calgary,Alberta,Canada,2023
MACEWAN TERRACE,1440 52 ST SE,4623,GJ,Calgary,Alberta,Canada,2023
MCKENNA LANE,107 PINEHILL PL NE,3876,GJ,Calgary,Alberta,Canada,2023
MCLAURIN VILLAGE,112 PINEHILL PL NE,79,GJ,Calgary,Alberta,Canada,2023
MONTGOMERY HOUSING,119 PINEHILL PL NE,3798,GJ,Calgary,Alberta,Canada,2023
MONTREZ,1001 5919 24 AV NE,3430,GJ,Calgary,Alberta,Canada,2023
OAKRIDGE TOWNHOUSES,102 5919 24 AV NE,2117,GJ,Calgary,Alberta,Canada,2023
PENBROOKE 1 HOUSING,1101 5919 24 AV NE,1801,GJ,Calgary,Alberta,Canada,2023
PINEHILL GARDENS - 107-117 PINEHILL PL NE HOUSING,1201 5919 24 AV NE,491,GJ,Calgary,Alberta,Canada,2023
PINEHILL GARDENS - 112-120 PINEHILL PL NE HOUSING,1401 5919 24 AV NE,535,GJ,Calgary,Alberta,Canada,2023
PINEHILL GARDENS - 119 PINEHILL PL NE HOUSING,1501 5919 24 AV NE,1425,GJ,Calgary,Alberta,Canada,2023
PINEWOOD PARK - #1001-1011 5919 24 AV NE HOUSING,1601 5919 24 AV NE,420,GJ,Calgary,Alberta,Canada,2023
PINEWOOD PARK - #102-108 5919 24 AV NE HOUSING,1701 5919 24 AV NE,253,GJ,Calgary,Alberta,Canada,2023
PINEWOOD PARK - #1101-1107 5919 24 AV NE HOUSING,1801 5919 24 AV NE,298,GJ,Calgary,Alberta,Canada,2023
PINEWOOD PARK - #1201-1207 5919 24 AV NE HOUSING,202 5920 22 AV NE,293,GJ,Calgary,Alberta,Canada,2023
PINEWOOD PARK - #1401-1411 5919 24 AV NE HOUSING,302 5920 22 AV NE,412,GJ,Calgary,Alberta,Canada,2023
PINEWOOD PARK - #1501-1507 5919 24 AV NE HOUSING,502 5920 22 AV NE,285,GJ,Calgary,Alberta,Canada,2023
PINEWOOD PARK - #1601-1607 5919 24 AV NE HOUSING,5919 24 AV NE,227,GJ,Calgary,Alberta,Canada,2023
PINEWOOD PARK - #1701-1711 5919 24 AV NE HOUSING,5920 22 AV NE,394,GJ,Calgary,Alberta,Canada,2023
