Business,Address,Annual Consumption,Unit,City,Province,Country
4359 & 4363 WHITEHORN DR NE HOUSING,4502 RICHMOND RD SW,223,GJ,Calgary,Alberta,Canada
444 ABADAN PL NE HOUSING,4601 MEMORIAL DR SE,142,GJ,Calgary,Alberta,Canada
4500 & 4502 RICHMOND RD SW HOUSING,4605 MEMORIAL DR SE,189,GJ,Calgary,Alberta,Canada
4601 MEMORIAL DR SE HOUSING,4611 MEMORIAL DR SE,182,GJ,Calgary,Alberta,Canada
4605 MEMORIAL DR SE HOUSING,461 23 AV NE,170,GJ,Calgary,Alberta,Canada
4611 MEMORIAL DR SE HOUSING,4615 MEMORIAL DR SE,169,GJ,Calgary,Alberta,Canada
461 23 AV NE HOUSING,4617 MEMORIAL DR SE,364,GJ,Calgary,Alberta,Canada
4615 MEMORIAL DR SE HOUSING,4623 MEMORIAL DR SE,199,GJ,Calgary,Alberta,Canada
4617 MEMORIAL DR SE HOUSING,4625 MEMORIAL DR SE,241,GJ,Calgary,Alberta,Canada
4623 MEMORIAL DR SE HOUSING,4631 MEMORIAL DR SE,193,GJ,Calgary,Alberta,Canada
4625 MEMORIAL DR SE HOUSING,4633 MEMORIAL DR SE,200,GJ,Calgary,Alberta,Canada
4631 MEMORIAL DR SE HOUSING,4637 MEMORIAL DR SE,219,GJ,Calgary,Alberta,Canada
4633 MEMORIAL DR SE HOUSING,4641 MEMORIAL DR SE,204,GJ,Calgary,Alberta,Canada
4637 MEMORIAL DR SE HOUSING,4645 MEMORIAL DR SE,146,GJ,Calgary,Alberta,Canada
4641 MEMORIAL DR SE HOUSING,48 DEER RIDGE WY SE,218,GJ,Calgary,Alberta,Canada
4645 MEMORIAL DR SE HOUSING,4651 MEMORIAL DR SE,169,GJ,Calgary,Alberta,Canada
46 & 48 DEER RIDGE WY SE HOUSING,465 23 AV NE,164,GJ,Calgary,Alberta,Canada
4651 MEMORIAL DR SE HOUSING,47 RADCLIFFE CL SE,186,GJ,Calgary,Alberta,Canada
465 23 AV NE HOUSING,4829 60 ST NE,295,GJ,Calgary,Alberta,Canada
47 RADCLIFFE CL SE HOUSING,4847 DALTON DR NW,586,GJ,Calgary,Alberta,Canada
4829 & 4831 60 ST NE HOUSING,4848 DALTON DR NW,217,GJ,Calgary,Alberta,Canada
4847 DALTON DR NW HOUSING,48 ABERGALE CL NE,2906,GJ,Calgary,Alberta,Canada
4848 DALTON DR NW HOUSING,48 ABINGDON CR NE,2442,GJ,Calgary,Alberta,Canada
48 ABERGALE CL NE HOUSING,48 CEDARWOOD RI SW,1083,GJ,Calgary,Alberta,Canada
48 ABINGDON CR NE HOUSING,49 CASTLERIDGE DR NE,114,GJ,Calgary,Alberta,Canada
48 CEDARWOOD RI SW HOUSING,51 FONDA DR SE,239,GJ,Calgary,Alberta,Canada
49 & 51 CASTLERIDGE DR NE HOUSING,4 RADCLIFFE CO SE,176,GJ,Calgary,Alberta,Canada
49 & 51 FONDA DR SE HOUSING,503 ABADAN PL NE,240,GJ,Calgary,Alberta,Canada
4 RADCLIFFE CO SE HOUSING,507 ABADAN PL NE,316,GJ,Calgary,Alberta,Canada
501 & 503 ABADAN PL NE HOUSING,#50-55 2730 19 AV SE,227,GJ,Calgary,Alberta,Canada
505 & 507 ABADAN PL NE HOUSING,508 72 AV NW,216,GJ,Calgary,Alberta,Canada
#50-55 2730 19 AV SE HOUSING,511 ABADAN PL NE,318,GJ,Calgary,Alberta,Canada
508 72 AV NW HOUSING,511 ABALONE PL NE,1880,GJ,Calgary,Alberta,Canada
509 & 511 ABADAN PL NE HOUSING,515 ABADAN PL NE,163,GJ,Calgary,Alberta,Canada
511 ABALONE PL NE HOUSING,519 ABADAN PL NE,79,GJ,Calgary,Alberta,Canada
513 & 515 ABADAN PL NE HOUSING,519 ABALONE PL NE,236,GJ,Calgary,Alberta,Canada
517 & 519 ABADAN PL NE HOUSING,520 RADLEY WY SE,196,GJ,Calgary,Alberta,Canada
519 ABALONE PL NE HOUSING,523 ABADAN PL NE,80,GJ,Calgary,Alberta,Canada
520 RADLEY WY SE HOUSING,5226 19 AV NW,256,GJ,Calgary,Alberta,Canada
521 & 523 ABADAN PL NE HOUSING,5232 19 AV NW,212,GJ,Calgary,Alberta,Canada
5226 19 AV NW HOUSING,5234 19 AV NW,220,GJ,Calgary,Alberta,Canada
5230 19 AV NW HOUSING,5241 19 AV NW,241,GJ,Calgary,Alberta,Canada
5234 19 AV NW HOUSING,5242 19 AV NW,192,GJ,Calgary,Alberta,Canada
5241 19 AV NW HOUSING,5245 19 AV NW,229,GJ,Calgary,Alberta,Canada
5242 19 AV NW HOUSING,5247 19 AV NW,193,GJ,Calgary,Alberta,Canada
5245 19 AV NW HOUSING,5253 19 AV NW,219,GJ,Calgary,Alberta,Canada
5247 19 AV NW HOUSING,5255 19 AV NW,353,GJ,Calgary,Alberta,Canada
5253 19 AV NW HOUSING,527 ABADAN PL NE,202,GJ,Calgary,Alberta,Canada
5255 19 AV NW HOUSING,5259 19 AV NW,285,GJ,Calgary,Alberta,Canada
525 & 527 ABADAN PL NE HOUSING,5263 19 AV NW,173,GJ,Calgary,Alberta,Canada
5259 19 AV NW HOUSING,5267 19 AV NW,175,GJ,Calgary,Alberta,Canada
5263 19 AV NW HOUSING,529 RADLEY WY SE,228,GJ,Calgary,Alberta,Canada
5267 19 AV NW HOUSING,56 RADCLIFFE CR SE,194,GJ,Calgary,Alberta,Canada
527-535 RADLEY WY SE HOUSING,55 FONDA DR SE,392,GJ,Calgary,Alberta,Canada
52 RADCLIFFE CO SE HOUSING,53 ERIN RIDGE RD SE,343,GJ,Calgary,Alberta,Canada
53 & 55 FONDA DR SE HOUSING,56 DEER RIDGE WY SE,169,GJ,Calgary,Alberta,Canada
53 ERIN RIDGE RD SE HOUSING,55 ERIN DALE CR SE,182,GJ,Calgary,Alberta,Canada
54 & 56 DEER RIDGE WY SE HOUSING,56 CASTLEBROOK WY NE,131,GJ,Calgary,Alberta,Canada
55 ERIN DALE CR SE HOUSING,5717 2 ST SW,125,GJ,Calgary,Alberta,Canada
56 CASTLEBROOK WY NE HOUSING,5719 68 ST NE,117,GJ,Calgary,Alberta,Canada
56 RADCLIFFE CR SE HOUSING,5723 68 ST NE,145,GJ,Calgary,Alberta,Canada
5717 2 ST SW HOUSING,5727 68 ST NE,5176,GJ,Calgary,Alberta,Canada
5719 & 5721 68 ST NE HOUSING,5731 68 ST NE,182,GJ,Calgary,Alberta,Canada
5723 & 5725 68 ST NE HOUSING,5735 68 ST NE,217,GJ,Calgary,Alberta,Canada
5727 & 5729 68 ST NE HOUSING,5743 68 ST NE,209,GJ,Calgary,Alberta,Canada
5731 & 5733 68 ST NE HOUSING,59 CASTLEPARK RD NE,228,GJ,Calgary,Alberta,Canada
5735 & 5737 68 ST NE HOUSING,59 FONDA DR SE,182,GJ,Calgary,Alberta,Canada
5743 & 5745 68 ST NE HOUSING,7 CASTLEPARK WY NE,206,GJ,Calgary,Alberta,Canada
5757 2 ST SW HOUSING,59 BERKLEY WY NW,2621,GJ,Calgary,Alberta,Canada
57 & 59 CASTLEPARK RD NE HOUSING,#60-65 2730 19 AV SE,198,GJ,Calgary,Alberta,Canada
57 & 59 FONDA DR SE HOUSING,60 CASTLERIDGE DR NE,194,GJ,Calgary,Alberta,Canada
5 & 7 CASTLEPARK WY NE HOUSING,6111 BOWNESS RD NW,134,GJ,Calgary,Alberta,Canada
59 BERKLEY WY NW HOUSING,6123 BOWNESS RD NW,3996,GJ,Calgary,Alberta,Canada
#60-65 2730 19 AV SE HOUSING,63 CASTLEPARK RD NE,269,GJ,Calgary,Alberta,Canada
60 CASTLERIDGE DR NE HOUSING,63 FONDA DR SE,86,GJ,Calgary,Alberta,Canada
6111 BOWNESS RD NW HOUSING,61 ABERDARE RD NE,1854,GJ,Calgary,Alberta,Canada
6123 BOWNESS RD NW HOUSING,6236 BOWNESS RD NW,638,GJ,Calgary,Alberta,Canada
61 & 63 CASTLEPARK RD NE HOUSING,6303 CENTRE ST NW,204,GJ,Calgary,Alberta,Canada
61 & 63 FONDA DR SE HOUSING,6504 35 AV NW,162,GJ,Calgary,Alberta,Canada
61 ABERDARE RD NE HOUSING,67 CASTLEPARK RD NE,117,GJ,Calgary,Alberta,Canada
6236 BOWNESS RD NW HOUSING,67 FONDA DR SE,560,GJ,Calgary,Alberta,Canada
6301-6307 CENTRE ST NW HOUSING,6803 CENTRE ST NW,307,GJ,Calgary,Alberta,Canada
6504 35 AV NW HOUSING,6835 CENTRE ST NW,703,GJ,Calgary,Alberta,Canada
65 & 67 CASTLEPARK RD NE HOUSING,68 ABINGDON CO NE,189,GJ,Calgary,Alberta,Canada
65 & 67 FONDA DR SE HOUSING,68 ERIN RIDGE RD SE,191,GJ,Calgary,Alberta,Canada
6803 CENTRE ST NW HOUSING,8 FALMEAD PL NE,1967,GJ,Calgary,Alberta,Canada
6835 CENTRE ST NW HOUSING,6900 RANCHERO RD NW,1302,GJ,Calgary,Alberta,Canada
68 ABINGDON CO NE HOUSING,71 CASTLEPARK RD NE,133,GJ,Calgary,Alberta,Canada
68 ERIN RIDGE RD SE HOUSING,71 FONDA DR SE,108,GJ,Calgary,Alberta,Canada
6 & 8 FALMEAD PL NE HOUSING,7003 24 ST SE,172,GJ,Calgary,Alberta,Canada
6900 RANCHERO RD NW HOUSING,7005 24 ST SE,1918,GJ,Calgary,Alberta,Canada
69 & 71 CASTLEPARK RD NE HOUSING,#70-75 2730 19 AV SE,203,GJ,Calgary,Alberta,Canada
69 & 71 FONDA DR SE HOUSING,70 ERIN RIDGE RD SE,150,GJ,Calgary,Alberta,Canada
7001 & 7003 24 ST SE HOUSING,11 DEERPOINT RD SE,194,GJ,Calgary,Alberta,Canada
7005 & 7007 24 ST SE HOUSING,#7-12 15 NORQUAY CO NW,130,GJ,Calgary,Alberta,Canada
#70-73 2730 19 AV SE HOUSING,72 ABERGALE CL NE,245,GJ,Calgary,Alberta,Canada
70 ERIN RIDGE RD SE HOUSING,72 FALTON RI NE,84,GJ,Calgary,Alberta,Canada
7 & 11 DEERPOINT RD SE HOUSING,72 PENWORTH CL SE,177,GJ,Calgary,Alberta,Canada
#7-12 15 NORQUAY CO NW HOUSING,75 CASTLEPARK RD NE,552,GJ,Calgary,Alberta,Canada
72 ABERGALE CL NE HOUSING,75 FONDA DR SE,853,GJ,Calgary,Alberta,Canada
72 FALTON RI NE HOUSING,74 FALCONRIDGE PL NE,122,GJ,Calgary,Alberta,Canada
72 PENWORTH CL SE HOUSING,7503 BOWNESS RD NW,85,GJ,Calgary,Alberta,Canada
73 & 75 CASTLEPARK RD NE HOUSING,750 5 ST SE,190,GJ,Calgary,Alberta,Canada
73 & 75 FONDA DR SE HOUSING,7507 BOWNESS RD NW,142,GJ,Calgary,Alberta,Canada
74 & 76 FALCONRIDGE PL NE HOUSING,7511 BOWNESS RD NW,209,GJ,Calgary,Alberta,Canada
7503 BOWNESS RD NW HOUSING,7515 BOWNESS RD NW,238,GJ,Calgary,Alberta,Canada
750 5 ST SE HOUSING,7521 BOWNESS RD NW,14881,GJ,Calgary,Alberta,Canada
7507 BOWNESS RD NW HOUSING,7525 BOWNESS RD NW,278,GJ,Calgary,Alberta,Canada
7511 BOWNESS RD NW HOUSING,7529 BOWNESS RD NW,260,GJ,Calgary,Alberta,Canada
7513 BOWNESS RD NW HOUSING,7533 BOWNESS RD NW,178,GJ,Calgary,Alberta,Canada
7521 BOWNESS RD NW HOUSING,7537 BOWNESS RD NW,171,GJ,Calgary,Alberta,Canada
7527 BOWNESS RD NW HOUSING,7541 BOWNESS RD NW,197,GJ,Calgary,Alberta,Canada
7529 BOWNESS RD NW HOUSING,7545 BOWNESS RD NW,220,GJ,Calgary,Alberta,Canada
7533 BOWNESS RD NW HOUSING,75 LINCOLN WY SW,186,GJ,Calgary,Alberta,Canada
7537 BOWNESS RD NW HOUSING,7602 26A ST SE,235,GJ,Calgary,Alberta,Canada
7541 BOWNESS RD NW HOUSING,7603 27 ST SE,267,GJ,Calgary,Alberta,Canada
7545 BOWNESS RD NW HOUSING,7606 26A ST SE,211,GJ,Calgary,Alberta,Canada
75 LINCOLN WY SW HOUSING,7609 27 ST SE,2709,GJ,Calgary,Alberta,Canada
7602 26A ST SE HOUSING,7611 27 ST SE,229,GJ,Calgary,Alberta,Canada
7603 27 ST SE HOUSING,7612 26A ST SE,186,GJ,Calgary,Alberta,Canada
7606 26A ST SE HOUSING,7616 26A ST SE,201,GJ,Calgary,Alberta,Canada
7609 27 ST SE HOUSING,7617 27 ST SE,184,GJ,Calgary,Alberta,Canada
7611 27 ST SE HOUSING,7618 26A ST SE,151,GJ,Calgary,Alberta,Canada
7612 26A ST SE HOUSING,7619 27 ST SE,184,GJ,Calgary,Alberta,Canada
7616 26A ST SE HOUSING,7623 27 ST SE,180,GJ,Calgary,Alberta,Canada
7617 27 ST SE HOUSING,7624 26A ST SE,210,GJ,Calgary,Alberta,Canada
7618 26A ST SE HOUSING,7626 26A ST SE,203,GJ,Calgary,Alberta,Canada
7619 27 ST SE HOUSING,7627 27 ST SE,187,GJ,Calgary,Alberta,Canada
7623 27 ST SE HOUSING,7629 26A ST SE,230,GJ,Calgary,Alberta,Canada
7624 26A ST SE HOUSING,7630 23 ST SE,192,GJ,Calgary,Alberta,Canada
7626 26A ST SE HOUSING,7631 26A ST SE,205,GJ,Calgary,Alberta,Canada
7627 27 ST SE HOUSING,7631 27 ST SE,222,GJ,Calgary,Alberta,Canada
7629 26A ST SE HOUSING,7632 26A ST SE,165,GJ,Calgary,Alberta,Canada
7630 & 7632 23 ST SE HOUSING,7634 23 ST SE,154,GJ,Calgary,Alberta,Canada
7631 26A ST SE HOUSING,7635 26A ST SE,200,GJ,Calgary,Alberta,Canada
7631 27 ST SE HOUSING,7636 26A ST SE,194,GJ,Calgary,Alberta,Canada
7632 26A ST SE HOUSING,7639 26A ST SE,180,GJ,Calgary,Alberta,Canada
7634 & 7636 23 ST SE HOUSING,7639 27 ST SE,227,GJ,Calgary,Alberta,Canada
7635 26A ST SE HOUSING,7640 26A ST SE,204,GJ,Calgary,Alberta,Canada
7636 26A ST SE HOUSING,7645 26A ST SE,166,GJ,Calgary,Alberta,Canada
7639 26A ST SE HOUSING,7645 27 ST SE,209,GJ,Calgary,Alberta,Canada
7639 27 ST SE HOUSING,76 ABINGDON WY NE,247,GJ,Calgary,Alberta,Canada
7640 26A ST SE HOUSING,76 CASTLEDALE WY NE,179,GJ,Calgary,Alberta,Canada
7645 26A ST SE HOUSING,76 CEDARWOOD HL SW,222,GJ,Calgary,Alberta,Canada
7645 27 ST SE HOUSING,7701 BOWNESS RD NW,240,GJ,Calgary,Alberta,Canada
76 ABINGDON WY NE HOUSING,7705 BOWNESS RD NW,98,GJ,Calgary,Alberta,Canada
76 CASTLEDALE WY NE HOUSING,7709 BOWNESS RD NW,102,GJ,Calgary,Alberta,Canada
76 CEDARWOOD HL SW HOUSING,7713 BOWNESS RD NW,257,GJ,Calgary,Alberta,Canada
7701 BOWNESS RD NW HOUSING,7717 BOWNESS RD NW,182,GJ,Calgary,Alberta,Canada
7705 BOWNESS RD NW HOUSING,7721 BOWNESS RD NW,286,GJ,Calgary,Alberta,Canada
7709 BOWNESS RD NW HOUSING,77 ABERDARE RD NE,224,GJ,Calgary,Alberta,Canada
7713 BOWNESS RD NW HOUSING,7801 24 ST SE,238,GJ,Calgary,Alberta,Canada
7717 BOWNESS RD NW HOUSING,7805 24 ST SE,206,GJ,Calgary,Alberta,Canada
7721 BOWNESS RD NW HOUSING,7809 24 ST SE,175,GJ,Calgary,Alberta,Canada
77 ABERDARE RD NE HOUSING,7813 24 ST SE,97,GJ,Calgary,Alberta,Canada
7801 & 7803 24 ST SE HOUSING,7817 24 ST SE,135,GJ,Calgary,Alberta,Canada
7805 & 7807 24 ST SE HOUSING,7821 24 ST SE,132,GJ,Calgary,Alberta,Canada
7809 & 7811 24 ST SE HOUSING,78 CASTLEDALE WY NE,159,GJ,Calgary,Alberta,Canada
7813 & 7815 24 ST SE HOUSING,80 ERIN MOUNT CR SE,145,GJ,Calgary,Alberta,Canada
7817 & 7819 24 ST SE HOUSING,84 DEER RIDGE WY SE,183,GJ,Calgary,Alberta,Canada
7821 & 7823 24 ST SE HOUSING,83 ABALONE WY NE,160,GJ,Calgary,Alberta,Canada
78 CASTLEDALE WY NE HOUSING,83 ERIN WOODS PL SE,130,GJ,Calgary,Alberta,Canada
80-84 ERIN MOUNT CR SE HOUSING,8402 CENTRE ST NE,241,GJ,Calgary,Alberta,Canada
#8-13 7000 RANCHERO RD NW HOUSING,8519 BOWNESS RD NW,477,GJ,Calgary,Alberta,Canada
82 & 84 DEER RIDGE WY SE HOUSING,88 DEER RIDGE WY SE,199,GJ,Calgary,Alberta,Canada
83 ABALONE WY NE HOUSING,86 ERIN MOUNT CR SE,110,GJ,Calgary,Alberta,Canada
83 ERIN WOODS PL SE HOUSING,86 ERIN RIDGE RD SE,70,GJ,Calgary,Alberta,Canada
8402 & 8404 CENTRE ST NE HOUSING,87 ABINGDON WY NE,248,GJ,Calgary,Alberta,Canada
8519 BOWNESS RD NW HOUSING,89 FALWORTH WY NE,210,GJ,Calgary,Alberta,Canada
86 & 88 DEER RIDGE WY SE HOUSING,92 ERIN RIDGE RD SE,189,GJ,Calgary,Alberta,Canada
86-92 ERIN MOUNT CR SE HOUSING,96 CASTLEDALE WY NE,294,GJ,Calgary,Alberta,Canada
86 ERIN RIDGE RD SE HOUSING,9960 BONAVENTURE DR SE,134,GJ,Calgary,Alberta,Canada
87 ABINGDON WY NE HOUSING,9 ERIN RIDGE RD SE,96,GJ,Calgary,Alberta,Canada
89 FALWORTH WY NE HOUSING,159 ABALONE CR NE,131,GJ,Calgary,Alberta,Canada
92 ERIN RIDGE RD SE HOUSING,360 40 AV NW,104,GJ,Calgary,Alberta,Canada
96 CASTLEDALE WY NE HOUSING,83 APPLEWOOD DR SE,95,GJ,Calgary,Alberta,Canada
9960 BONAVENTURE DR SE HOUSING,15 4 ST NE,1622,GJ,Calgary,Alberta,Canada
9 ERIN RIDGE RD SE HOUSING,14812 BANNISTER RD SE,119,GJ,Calgary,Alberta,Canada
ABBEYDALE 3,1330 BERKLEY DR NW,1483,GJ,Calgary,Alberta,Canada
ALBERTA HOUSING PROJECT,736 MCDOUGALL CO NE,749,GJ,Calgary,Alberta,Canada
APPLEWOOD LANE,2611 106 AV SW,4256,GJ,Calgary,Alberta,Canada
ARMOUR BLOCK,1820 14 AV NE,2388,GJ,Calgary,Alberta,Canada
BANNISTER MANOR,6624 CENTRE ST SE,4424,GJ,Calgary,Alberta,Canada
BEDDINGTON PHASE 2,2425 69 AV SE,4428,GJ,Calgary,Alberta,Canada
BRIDGELAND PLACE,48 MCHUGH CO NE,13557,GJ,Calgary,Alberta,Canada
CEDARBRAE 2,123 DEERFIELD DR SE,1779,GJ,Calgary,Alberta,Canada
CEDAR COURT GARDENS,55 DEERPOINT RD SE,2214,GJ,Calgary,Alberta,Canada
CHC SOUTH DISTRICT OFFICE,26 CASTLERIDGE DR NE,1034,GJ,Calgary,Alberta,Canada
CRESTWOOD AFFORDABLE HOUSING,55 EDGEBURN CR NW,4033,GJ,Calgary,Alberta,Canada
CROSSROADS GARDENS - 48 MCHUGH CO NE,12 ERIN DALE CR SE,1059,GJ,Calgary,Alberta,Canada
DEERFIELD VILLAS,293 ERIN WOODS DR SE,1942,GJ,Calgary,Alberta,Canada
DEERPOINT GARDENS,1260 FALCONRIDGE DR NE,3118,GJ,Calgary,Alberta,Canada
DUPLEX - 26 & 28 CASTLERIDGE DR NE,3805 47 ST SW,201,GJ,Calgary,Alberta,Canada
EDGEBURN GARDENS,5320 35 AV SW,7521,GJ,Calgary,Alberta,Canada
ERINDALE COURT,3206 30A AV SE,113,GJ,Calgary,Alberta,Canada
ERIN WOODS,5238 19 AV NW,5739,GJ,Calgary,Alberta,Canada
FALCONRIDGE TOWNHOUSES,7519 BOWNESS RD NW,4092,GJ,Calgary,Alberta,Canada
GLENBROOK CO-OP COURT - 3805 47 ST SW,2215 LINCOLN DR SW,2859,GJ,Calgary,Alberta,Canada
GLENBROOK CO-OP COURT - 3905 47 ST SW,2029 36 ST SE,2093,GJ,Calgary,Alberta,Canada
GLENBROOK HOUSING,1636 16A ST SE,4110,GJ,Calgary,Alberta,Canada
INACTIVE - 3206 30A AV SE HOUSING,4405 RICHARDSON WY SW,192,GJ,Calgary,Alberta,Canada
INACTIVE - 5238 19 AV NW HOUSING,4414 RICHARDSON RD SW,208,GJ,Calgary,Alberta,Canada
INACTIVE - 7517 BOWNESS RD NW HOUSING,4433 RICHARDSON WY SW,204,GJ,Calgary,Alberta,Canada
INACTIVE - HOUSE - 2215 LINCOLN DR SW,4448 RICHARDSON RD SW,51,GJ,Calgary,Alberta,Canada
INACTIVE - RESIDENTIAL - 2029 36 ST SE,4467 RICHARDSON WY SW,193,GJ,Calgary,Alberta,Canada
INGLEWOOD TOWNHOUSES,4478 RICHARDSON RD SW,1528,GJ,Calgary,Alberta,Canada
LINCOLN PARK - 4405-4431 RICHARDSON WY SW HOUSING,4501 RICHARDSON WY SW,589,GJ,Calgary,Alberta,Canada
LINCOLN PARK - 4414-4440 RICHARDSON RD SW HOUSING,4514 RICHARDSON RD SW,482,GJ,Calgary,Alberta,Canada
LINCOLN PARK - 4433-4463 RICHARDSON WY SW HOUSING,4538 RICHARDSON RD SW,893,GJ,Calgary,Alberta,Canada
LINCOLN PARK - 4448-4470 RICHARDSON RD SW HOUSING,1719 10 ST SW,630,GJ,Calgary,Alberta,Canada
LINCOLN PARK - 4467-4497 RICHARDSON WY SW HOUSING,872 4 AV SW,611,GJ,Calgary,Alberta,Canada
LINCOLN PARK - 4478-4488 RICHARDSON RD SW HOUSING,400 MACEWAN DR NW,226,GJ,Calgary,Alberta,Canada
LINCOLN PARK - 4501-4523 RICHARDSON WY SW HOUSING,120 MCKENNA CR SE,177,GJ,Calgary,Alberta,Canada
LINCOLN PARK - 4514-4536 RICHARDSON RD SW HOUSING,3500 VARSITY DR NW,437,GJ,Calgary,Alberta,Canada
LINCOLN PARK - 4538-4564 RICHARDSON RD SW HOUSING,4525 MONTGOMERY AV NW,153,GJ,Calgary,Alberta,Canada
LONDON HOUSE,1121 15 AV SW,740,GJ,Calgary,Alberta,Canada
LOUISE STATION,2525 98 AV SW,5045,GJ,Calgary,Alberta,Canada
MACEWAN TERRACE,1440 52 ST SE,5553,GJ,Calgary,Alberta,Canada
MCKENNA LANE,107 PINEHILL PL NE,4271,GJ,Calgary,Alberta,Canada
MCLAURIN VILLAGE,112 PINEHILL PL NE,82,GJ,Calgary,Alberta,Canada
MONTGOMERY HOUSING,119 PINEHILL PL NE,4901,GJ,Calgary,Alberta,Canada
MONTREZ,1001 5919 24 AV NE,3761,GJ,Calgary,Alberta,Canada
OAKRIDGE TOWNHOUSES,102 5919 24 AV NE,2630,GJ,Calgary,Alberta,Canada
PENBROOKE 1 HOUSING,1101 5919 24 AV NE,2307,GJ,Calgary,Alberta,Canada
PINEHILL GARDENS - 107-117 PINEHILL PL NE HOUSING,1201 5919 24 AV NE,574,GJ,Calgary,Alberta,Canada
PINEHILL GARDENS - 112-120 PINEHILL PL NE HOUSING,1401 5919 24 AV NE,622,GJ,Calgary,Alberta,Canada
PINEHILL GARDENS - 119 PINEHILL PL NE HOUSING,1501 5919 24 AV NE,1461,GJ,Calgary,Alberta,Canada
PINEWOOD PARK - #1001-1011 5919 24 AV NE HOUSING,1601 5919 24 AV NE,458,GJ,Calgary,Alberta,Canada
PINEWOOD PARK - #102-108 5919 24 AV NE HOUSING,1701 5919 24 AV NE,267,GJ,Calgary,Alberta,Canada
PINEWOOD PARK - #1101-1107 5919 24 AV NE HOUSING,1801 5919 24 AV NE,342,GJ,Calgary,Alberta,Canada
PINEWOOD PARK - #1201-1207 5919 24 AV NE HOUSING,202 5920 22 AV NE,320,GJ,Calgary,Alberta,Canada
PINEWOOD PARK - #1401-1411 5919 24 AV NE HOUSING,302 5920 22 AV NE,471,GJ,Calgary,Alberta,Canada
PINEWOOD PARK - #1501-1507 5919 24 AV NE HOUSING,502 5920 22 AV NE,350,GJ,Calgary,Alberta,Canada
PINEWOOD PARK - #1601-1607 5919 24 AV NE HOUSING,5919 24 AV NE,272,GJ,Calgary,Alberta,Canada
PINEWOOD PARK - #1701-1711 5919 24 AV NE HOUSING,5920 22 AV NE,493,GJ,Calgary,Alberta,Canada
PINEWOOD PARK - #1801-1807 5919 24 AV NE HOUSING,602 5920 22 AV NE,331,GJ,Calgary,Alberta,Canada
PINEWOOD PARK - #202-208 5920 22 AV NE HOUSING,702 5920 22 AV NE,425,GJ,Calgary,Alberta,Canada
PINEWOOD PARK - #302-312 5920 22 AV NE HOUSING,802 5920 22 AV NE,512,GJ,Calgary,Alberta,Canada
PINEWOOD PARK - #502-508 5920 22 AV NE HOUSING,902 5920 22 AV NE,294,GJ,Calgary,Alberta,Canada
PINEWOOD PARK - 5919 24 AV NE HOUSING,1215 RANCHLANDS WY NW,1503,GJ,Calgary,Alberta,Canada
PINEWOOD PARK - 5920 22 AV NE HOUSING,161 RANCH GLEN DR NW,1635,GJ,Calgary,Alberta,Canada
PINEWOOD PARK - #602-608 5920 22 AV NE HOUSING,40 RANCHLANDS BA NW,324,GJ,Calgary,Alberta,Canada
PINEWOOD PARK - #702-712 5920 22 AV NE HOUSING,900 ROBERT RD NE,431,GJ,Calgary,Alberta,Canada
PINEWOOD PARK - #802-808 5920 22 AV NE HOUSING,1625 42 ST SW,347,GJ,Calgary,Alberta,Canada
PINEWOOD PARK - #902-912 5920 22 AV NE HOUSING,147 RUNDLEMERE RD NE,494,GJ,Calgary,Alberta,Canada
RANCHLANDS GV NW HOUSING,3307 SPRUCE DR SW,1826,GJ,Calgary,Alberta,Canada
RANCHLANDS HOUSING PROJECT,75 SHAWNESSY DR SW,664,GJ,Calgary,Alberta,Canada
RANCHLANDS WEST HOUSING PROJECT,9090 24 ST SE,1395,GJ,Calgary,Alberta,Canada
RENFREW 2,36 STRADWICK RI SW,1426,GJ,Calgary,Alberta,Canada
ROSSCARROCK COMMUNITY HOUSING,58 TEMPLEMONT RD NE,4702,GJ,Calgary,Alberta,Canada
RUNDLEMERE RD NE HOUSING,168 ST MORITZ DR SW,4108,GJ,Calgary,Alberta,Canada
SHAGANAPPI VILLAGE,112 27 AV NW,19730,GJ,Calgary,Alberta,Canada
SHAWNESSY TERRACE,1112 7 AV SW,2559,GJ,Calgary,Alberta,Canada
SOUTH HILL MOBILE HOME PARK,11 VENTURA LN NE,156,GJ,Calgary,Alberta,Canada
STRATHCONA 1,12 VENTURA LN NE,4601,GJ,Calgary,Alberta,Canada
TEMPLE 1 COMMUNITY HOUSING,22 VENTURA LN NE,3143,GJ,Calgary,Alberta,Canada
TREO AT MONTREUX,23 VENTURA LN NE,14508,GJ,Calgary,Alberta,Canada
TUXEDO GARDEN COURT,249A PENNSYLVANIA RD SE,1625,GJ,Calgary,Alberta,Canada
UPTOWN APT,249B PENNSYLVANIA RD SE,2215,GJ,Calgary,Alberta,Canada
VENTURA LN NE - 11-21 VENTURA LN NE HOUSING,249C PENNSYLVANIA RD SE,434,GJ,Calgary,Alberta,Canada
VENTURA LN NE - 12-20 VENTURA LN NE HOUSING,1225 14 AV SW,390,GJ,Calgary,Alberta,Canada
VENTURA LN NE - 22-32 VENTURA LN NE HOUSING,110 WOODMONT CO SW,582,GJ,Calgary,Alberta,Canada
VENTURA LN NE - 23-33 VENTURA LN NE HOUSING,233 WOODRIDGE DR SW,439,GJ,Calgary,Alberta,Canada
