Business,Address,Annual Consumption,Units,City,Province,Country,Year
4317 DOVERWOOD PL SE HOUSING,4323 WHITEHORN DR NE,169,GJ,Calgary,Alberta,Canada,2022
4318 DOVERWOOD PL SE HOUSING,4321 DOVERWOOD PL SE,150,GJ,Calgary,Alberta,Canada,2022
4319 & 4323 WHITEHORN DR NE HOUSING,4322 DOVERWOOD PL SE,172,GJ,Calgary,Alberta,Canada,2022
4321 DOVERWOOD PL SE HOUSING,4327 BOWNESS RD NW,140,GJ,Calgary,Alberta,Canada,2022
4322 DOVERWOOD PL SE HOUSING,4325 DOVERWOOD PL SE,159,GJ,Calgary,Alberta,Canada,2022
4325 & 4327 BOWNESS RD NW HOUSING,4326 DOVERWOOD PL SE,183,GJ,Calgary,Alberta,Canada,2022
4325 DOVERWOOD PL SE HOUSING,4331 WHITEHORN DR NE,147,GJ,Calgary,Alberta,Canada,2022
4326 DOVERWOOD PL SE HOUSING,4332 DOVERWOOD PL SE,188,GJ,Calgary,Alberta,Canada,2022
4327 & 4331 WHITEHORN DR NE HOUSING,4339 WHITEHORN DR NE,167,GJ,Calgary,Alberta,Canada,2022
4332 DOVERWOOD PL SE HOUSING,4336 DOVERWOOD PL SE,162,GJ,Calgary,Alberta,Canada,2022
4335 & 4339 WHITEHORN DR NE HOUSING,4347 WHITEHORN DR NE,167,GJ,Calgary,Alberta,Canada,2022
4336 DOVERWOOD PL SE HOUSING,4355 WHITEHORN DR NE,177,GJ,Calgary,Alberta,Canada,2022
4343 & 4347 WHITEHORN DR NE HOUSING,4363 WHITEHORN DR NE,138,GJ,Calgary,Alberta,Canada,2022
4351 & 4355 WHITEHORN DR NE HOUSING,444 ABADAN PL NE,131,GJ,Calgary,Alberta,Canada,2022
4359 & 4363 WHITEHORN DR NE HOUSING,4502 RICHMOND RD SW,189,GJ,Calgary,Alberta,Canada,2022
444 ABADAN PL NE HOUSING,4601 MEMORIAL DR SE,146,GJ,Calgary,Alberta,Canada,2022
4500 & 4502 RICHMOND RD SW HOUSING,4605 MEMORIAL DR SE,169,GJ,Calgary,Alberta,Canada,2022
4601 MEMORIAL DR SE HOUSING,4611 MEMORIAL DR SE,168,GJ,Calgary,Alberta,Canada,2022
4605 MEMORIAL DR SE HOUSING,461 23 AV NE,157,GJ,Calgary,Alberta,Canada,2022
4611 MEMORIAL DR SE HOUSING,4615 MEMORIAL DR SE,153,GJ,Calgary,Alberta,Canada,2022
461 23 AV NE HOUSING,4617 MEMORIAL DR SE,356,GJ,Calgary,Alberta,Canada,2022
4615 MEMORIAL DR SE HOUSING,4623 MEMORIAL DR SE,171,GJ,Calgary,Alberta,Canada,2022
4617 MEMORIAL DR SE HOUSING,4625 MEMORIAL DR SE,183,GJ,Calgary,Alberta,Canada,2022
4623 MEMORIAL DR SE HOUSING,4631 MEMORIAL DR SE,180,GJ,Calgary,Alberta,Canada,2022
4625 MEMORIAL DR SE HOUSING,4633 MEMORIAL DR SE,163,GJ,Calgary,Alberta,Canada,2022
4631 MEMORIAL DR SE HOUSING,4637 MEMORIAL DR SE,193,GJ,Calgary,Alberta,Canada,2022
4633 MEMORIAL DR SE HOUSING,4641 MEMORIAL DR SE,168,GJ,Calgary,Alberta,Canada,2022
4637 MEMORIAL DR SE HOUSING,4645 MEMORIAL DR SE,128,GJ,Calgary,Alberta,Canada,2022
4641 MEMORIAL DR SE HOUSING,48 DEER RIDGE WY SE,203,GJ,Calgary,Alberta,Canada,2022
4645 MEMORIAL DR SE HOUSING,4651 MEMORIAL DR SE,156,GJ,Calgary,Alberta,Canada,2022
46 & 48 DEER RIDGE WY SE HOUSING,465 23 AV NE,205,GJ,Calgary,Alberta,Canada,2022
4651 MEMORIAL DR SE HOUSING,47 RADCLIFFE CL SE,115,GJ,Calgary,Alberta,Canada,2022
465 23 AV NE HOUSING,4829 60 ST NE,232,GJ,Calgary,Alberta,Canada,2022
47 RADCLIFFE CL SE HOUSING,4847 DALTON DR NW,587,GJ,Calgary,Alberta,Canada,2022
4829 & 4831 60 ST NE HOUSING,4848 DALTON DR NW,220,GJ,Calgary,Alberta,Canada,2022
4847 DALTON DR NW HOUSING,48 ABERGALE CL NE,2905,GJ,Calgary,Alberta,Canada,2022
4848 DALTON DR NW HOUSING,48 ABINGDON CR NE,2325,GJ,Calgary,Alberta,Canada,2022
48 ABERGALE CL NE HOUSING,48 CEDARWOOD RI SW,956,GJ,Calgary,Alberta,Canada,2022
48 ABINGDON CR NE HOUSING,49 CASTLERIDGE DR NE,97,GJ,Calgary,Alberta,Canada,2022
48 CEDARWOOD RI SW HOUSING,51 FONDA DR SE,182,GJ,Calgary,Alberta,Canada,2022
49 & 51 CASTLERIDGE DR NE HOUSING,4 RADCLIFFE CO SE,183,GJ,Calgary,Alberta,Canada,2022
49 & 51 FONDA DR SE HOUSING,503 ABADAN PL NE,209,GJ,Calgary,Alberta,Canada,2022
4 RADCLIFFE CO SE HOUSING,507 ABADAN PL NE,278,GJ,Calgary,Alberta,Canada,2022
501 & 503 ABADAN PL NE HOUSING,#50-55 2730 19 AV SE,179,GJ,Calgary,Alberta,Canada,2022
505 & 507 ABADAN PL NE HOUSING,508 72 AV NW,187,GJ,Calgary,Alberta,Canada,2022
#50-55 2730 19 AV SE HOUSING,511 ABADAN PL NE,309,GJ,Calgary,Alberta,Canada,2022
508 72 AV NW HOUSING,511 ABALONE PL NE,1701,GJ,Calgary,Alberta,Canada,2022
509 & 511 ABADAN PL NE HOUSING,515 ABADAN PL NE,187,GJ,Calgary,Alberta,Canada,2022
511 ABALONE PL NE HOUSING,519 ABADAN PL NE,72,GJ,Calgary,Alberta,Canada,2022
513 & 515 ABADAN PL NE HOUSING,519 ABALONE PL NE,189,GJ,Calgary,Alberta,Canada,2022
517 & 519 ABADAN PL NE HOUSING,520 RADLEY WY SE,191,GJ,Calgary,Alberta,Canada,2022
519 ABALONE PL NE HOUSING,523 ABADAN PL NE,82,GJ,Calgary,Alberta,Canada,2022
520 RADLEY WY SE HOUSING,5226 19 AV NW,242,GJ,Calgary,Alberta,Canada,2022
521 & 523 ABADAN PL NE HOUSING,5232 19 AV NW,284,GJ,Calgary,Alberta,Canada,2022
5226 19 AV NW HOUSING,5234 19 AV NW,214,GJ,Calgary,Alberta,Canada,2022
5230 19 AV NW HOUSING,5241 19 AV NW,209,GJ,Calgary,Alberta,Canada,2022
5234 19 AV NW HOUSING,5242 19 AV NW,191,GJ,Calgary,Alberta,Canada,2022
5241 19 AV NW HOUSING,5245 19 AV NW,213,GJ,Calgary,Alberta,Canada,2022
5242 19 AV NW HOUSING,5247 19 AV NW,191,GJ,Calgary,Alberta,Canada,2022
5245 19 AV NW HOUSING,5253 19 AV NW,224,GJ,Calgary,Alberta,Canada,2022
5247 19 AV NW HOUSING,5255 19 AV NW,343,GJ,Calgary,Alberta,Canada,2022
5253 19 AV NW HOUSING,527 ABADAN PL NE,188,GJ,Calgary,Alberta,Canada,2022
5255 19 AV NW HOUSING,5259 19 AV NW,263,GJ,Calgary,Alberta,Canada,2022
525 & 527 ABADAN PL NE HOUSING,5263 19 AV NW,138,GJ,Calgary,Alberta,Canada,2022
5259 19 AV NW HOUSING,5267 19 AV NW,279,GJ,Calgary,Alberta,Canada,2022
5263 19 AV NW HOUSING,529 RADLEY WY SE,168,GJ,Calgary,Alberta,Canada,2022
5267 19 AV NW HOUSING,56 RADCLIFFE CR SE,238,GJ,Calgary,Alberta,Canada,2022
527-535 RADLEY WY SE HOUSING,55 FONDA DR SE,387,GJ,Calgary,Alberta,Canada,2022
52 RADCLIFFE CO SE HOUSING,53 ERIN RIDGE RD SE,320,GJ,Calgary,Alberta,Canada,2022
53 & 55 FONDA DR SE HOUSING,56 DEER RIDGE WY SE,156,GJ,Calgary,Alberta,Canada,2022
53 ERIN RIDGE RD SE HOUSING,55 ERIN DALE CR SE,138,GJ,Calgary,Alberta,Canada,2022
54 & 56 DEER RIDGE WY SE HOUSING,56 CASTLEBROOK WY NE,116,GJ,Calgary,Alberta,Canada,2022
55 ERIN DALE CR SE HOUSING,5717 2 ST SW,118,GJ,Calgary,Alberta,Canada,2022
56 CASTLEBROOK WY NE HOUSING,5719 68 ST NE,102,GJ,Calgary,Alberta,Canada,2022
56 RADCLIFFE CR SE HOUSING,5723 68 ST NE,288,GJ,Calgary,Alberta,Canada,2022
5717 2 ST SW HOUSING,5727 68 ST NE,4158,GJ,Calgary,Alberta,Canada,2022
5719 & 5721 68 ST NE HOUSING,5731 68 ST NE,203,GJ,Calgary,Alberta,Canada,2022
5723 & 5725 68 ST NE HOUSING,5735 68 ST NE,206,GJ,Calgary,Alberta,Canada,2022
5727 & 5729 68 ST NE HOUSING,5743 68 ST NE,215,GJ,Calgary,Alberta,Canada,2022
5731 & 5733 68 ST NE HOUSING,59 CASTLEPARK RD NE,204,GJ,Calgary,Alberta,Canada,2022
5735 & 5737 68 ST NE HOUSING,59 FONDA DR SE,207,GJ,Calgary,Alberta,Canada,2022
5743 & 5745 68 ST NE HOUSING,7 CASTLEPARK WY NE,189,GJ,Calgary,Alberta,Canada,2022
5757 2 ST SW HOUSING,59 BERKLEY WY NW,7133,GJ,Calgary,Alberta,Canada,2022
57 & 59 CASTLEPARK RD NE HOUSING,#60-65 2730 19 AV SE,204,GJ,Calgary,Alberta,Canada,2022
57 & 59 FONDA DR SE HOUSING,60 CASTLERIDGE DR NE,173,GJ,Calgary,Alberta,Canada,2022
5 & 7 CASTLEPARK WY NE HOUSING,6111 BOWNESS RD NW,151,GJ,Calgary,Alberta,Canada,2022
59 BERKLEY WY NW HOUSING,6123 BOWNESS RD NW,3567,GJ,Calgary,Alberta,Canada,2022
#60-65 2730 19 AV SE HOUSING,63 CASTLEPARK RD NE,252,GJ,Calgary,Alberta,Canada,2022
60 CASTLERIDGE DR NE HOUSING,63 FONDA DR SE,124,GJ,Calgary,Alberta,Canada,2022
6111 BOWNESS RD NW HOUSING,61 ABERDARE RD NE,1551,GJ,Calgary,Alberta,Canada,2022
6123 BOWNESS RD NW HOUSING,6236 BOWNESS RD NW,657,GJ,Calgary,Alberta,Canada,2022
61 & 63 CASTLEPARK RD NE HOUSING,6303 CENTRE ST NW,209,GJ,Calgary,Alberta,Canada,2022
61 & 63 FONDA DR SE HOUSING,6504 35 AV NW,176,GJ,Calgary,Alberta,Canada,2022
61 ABERDARE RD NE HOUSING,67 CASTLEPARK RD NE,114,GJ,Calgary,Alberta,Canada,2022
6236 BOWNESS RD NW HOUSING,67 FONDA DR SE,561,GJ,Calgary,Alberta,Canada,2022
6301-6307 CENTRE ST NW HOUSING,6803 CENTRE ST NW,284,GJ,Calgary,Alberta,Canada,2022
6504 35 AV NW HOUSING,6835 CENTRE ST NW,702,GJ,Calgary,Alberta,Canada,2022
65 & 67 CASTLEPARK RD NE HOUSING,68 ABINGDON CO NE,182,GJ,Calgary,Alberta,Canada,2022
65 & 67 FONDA DR SE HOUSING,68 ERIN RIDGE RD SE,141,GJ,Calgary,Alberta,Canada,2022
6803 CENTRE ST NW HOUSING,8 FALMEAD PL NE,1462,GJ,Calgary,Alberta,Canada,2022
6835 CENTRE ST NW HOUSING,6900 RANCHERO RD NW,1164,GJ,Calgary,Alberta,Canada,2022
68 ABINGDON CO NE HOUSING,71 CASTLEPARK RD NE,123,GJ,Calgary,Alberta,Canada,2022
68 ERIN RIDGE RD SE HOUSING,71 FONDA DR SE,122,GJ,Calgary,Alberta,Canada,2022
6 & 8 FALMEAD PL NE HOUSING,7003 24 ST SE,176,GJ,Calgary,Alberta,Canada,2022
6900 RANCHERO RD NW HOUSING,7005 24 ST SE,1770,GJ,Calgary,Alberta,Canada,2022
69 & 71 CASTLEPARK RD NE HOUSING,#70-75 2730 19 AV SE,189,GJ,Calgary,Alberta,Canada,2022
69 & 71 FONDA DR SE HOUSING,70 ERIN RIDGE RD SE,145,GJ,Calgary,Alberta,Canada,2022
7001 & 7003 24 ST SE HOUSING,11 DEERPOINT RD SE,162,GJ,Calgary,Alberta,Canada,2022
7005 & 7007 24 ST SE HOUSING,#7-12 15 NORQUAY CO NW,115,GJ,Calgary,Alberta,Canada,2022
#70-73 2730 19 AV SE HOUSING,72 ABERGALE CL NE,228,GJ,Calgary,Alberta,Canada,2022
70 ERIN RIDGE RD SE HOUSING,72 FALTON RI NE,91,GJ,Calgary,Alberta,Canada,2022
7 & 11 DEERPOINT RD SE HOUSING,72 PENWORTH CL SE,169,GJ,Calgary,Alberta,Canada,2022
#7-12 15 NORQUAY CO NW HOUSING,75 CASTLEPARK RD NE,571,GJ,Calgary,Alberta,Canada,2022
72 ABERGALE CL NE HOUSING,75 FONDA DR SE,866,GJ,Calgary,Alberta,Canada,2022
72 FALTON RI NE HOUSING,74 FALCONRIDGE PL NE,117,GJ,Calgary,Alberta,Canada,2022
72 PENWORTH CL SE HOUSING,7503 BOWNESS RD NW,95,GJ,Calgary,Alberta,Canada,2022
73 & 75 CASTLEPARK RD NE HOUSING,750 5 ST SE,178,GJ,Calgary,Alberta,Canada,2022
73 & 75 FONDA DR SE HOUSING,7507 BOWNESS RD NW,138,GJ,Calgary,Alberta,Canada,2022
74 & 76 FALCONRIDGE PL NE HOUSING,7511 BOWNESS RD NW,204,GJ,Calgary,Alberta,Canada,2022
7503 BOWNESS RD NW HOUSING,7515 BOWNESS RD NW,184,GJ,Calgary,Alberta,Canada,2022
750 5 ST SE HOUSING,7521 BOWNESS RD NW,16023,GJ,Calgary,Alberta,Canada,2022
7507 BOWNESS RD NW HOUSING,7525 BOWNESS RD NW,215,GJ,Calgary,Alberta,Canada,2022
7511 BOWNESS RD NW HOUSING,7529 BOWNESS RD NW,227,GJ,Calgary,Alberta,Canada,2022
7513 BOWNESS RD NW HOUSING,7533 BOWNESS RD NW,168,GJ,Calgary,Alberta,Canada,2022
7521 BOWNESS RD NW HOUSING,7537 BOWNESS RD NW,156,GJ,Calgary,Alberta,Canada,2022
7527 BOWNESS RD NW HOUSING,7541 BOWNESS RD NW,148,GJ,Calgary,Alberta,Canada,2022
7529 BOWNESS RD NW HOUSING,7545 BOWNESS RD NW,213,GJ,Calgary,Alberta,Canada,2022
7533 BOWNESS RD NW HOUSING,75 LINCOLN WY SW,173,GJ,Calgary,Alberta,Canada,2022
7537 BOWNESS RD NW HOUSING,7602 26A ST SE,203,GJ,Calgary,Alberta,Canada,2022
7541 BOWNESS RD NW HOUSING,7603 27 ST SE,258,GJ,Calgary,Alberta,Canada,2022
7545 BOWNESS RD NW HOUSING,7606 26A ST SE,202,GJ,Calgary,Alberta,Canada,2022
75 LINCOLN WY SW HOUSING,7609 27 ST SE,2519,GJ,Calgary,Alberta,Canada,2022
7602 26A ST SE HOUSING,7611 27 ST SE,205,GJ,Calgary,Alberta,Canada,2022
7603 27 ST SE HOUSING,7612 26A ST SE,196,GJ,Calgary,Alberta,Canada,2022
7606 26A ST SE HOUSING,7616 26A ST SE,156,GJ,Calgary,Alberta,Canada,2022
7609 27 ST SE HOUSING,7617 27 ST SE,152,GJ,Calgary,Alberta,Canada,2022
7611 27 ST SE HOUSING,7618 26A ST SE,144,GJ,Calgary,Alberta,Canada,2022
7612 26A ST SE HOUSING,7619 27 ST SE,193,GJ,Calgary,Alberta,Canada,2022
7616 26A ST SE HOUSING,7623 27 ST SE,164,GJ,Calgary,Alberta,Canada,2022
7617 27 ST SE HOUSING,7624 26A ST SE,185,GJ,Calgary,Alberta,Canada,2022
7618 26A ST SE HOUSING,7626 26A ST SE,199,GJ,Calgary,Alberta,Canada,2022
7619 27 ST SE HOUSING,7627 27 ST SE,144,GJ,Calgary,Alberta,Canada,2022
7623 27 ST SE HOUSING,7629 26A ST SE,150,GJ,Calgary,Alberta,Canada,2022
7624 26A ST SE HOUSING,7630 23 ST SE,190,GJ,Calgary,Alberta,Canada,2022
7626 26A ST SE HOUSING,7631 26A ST SE,172,GJ,Calgary,Alberta,Canada,2022
7627 27 ST SE HOUSING,7631 27 ST SE,181,GJ,Calgary,Alberta,Canada,2022
7629 26A ST SE HOUSING,7632 26A ST SE,150,GJ,Calgary,Alberta,Canada,2022
7630 & 7632 23 ST SE HOUSING,7634 23 ST SE,140,GJ,Calgary,Alberta,Canada,2022
7631 26A ST SE HOUSING,7635 26A ST SE,201,GJ,Calgary,Alberta,Canada,2022
7631 27 ST SE HOUSING,7636 26A ST SE,146,GJ,Calgary,Alberta,Canada,2022
7632 26A ST SE HOUSING,7639 26A ST SE,163,GJ,Calgary,Alberta,Canada,2022
7634 & 7636 23 ST SE HOUSING,7639 27 ST SE,189,GJ,Calgary,Alberta,Canada,2022
7635 26A ST SE HOUSING,7640 26A ST SE,171,GJ,Calgary,Alberta,Canada,2022
7636 26A ST SE HOUSING,7645 26A ST SE,163,GJ,Calgary,Alberta,Canada,2022
7639 26A ST SE HOUSING,7645 27 ST SE,178,GJ,Calgary,Alberta,Canada,2022
7639 27 ST SE HOUSING,76 ABINGDON WY NE,229,GJ,Calgary,Alberta,Canada,2022
7640 26A ST SE HOUSING,76 CASTLEDALE WY NE,168,GJ,Calgary,Alberta,Canada,2022
7645 26A ST SE HOUSING,76 CEDARWOOD HL SW,177,GJ,Calgary,Alberta,Canada,2022
7645 27 ST SE HOUSING,7701 BOWNESS RD NW,203,GJ,Calgary,Alberta,Canada,2022
76 ABINGDON WY NE HOUSING,7705 BOWNESS RD NW,90,GJ,Calgary,Alberta,Canada,2022
76 CASTLEDALE WY NE HOUSING,7709 BOWNESS RD NW,120,GJ,Calgary,Alberta,Canada,2022
76 CEDARWOOD HL SW HOUSING,7713 BOWNESS RD NW,267,GJ,Calgary,Alberta,Canada,2022
7701 BOWNESS RD NW HOUSING,7717 BOWNESS RD NW,81,GJ,Calgary,Alberta,Canada,2022
7705 BOWNESS RD NW HOUSING,7721 BOWNESS RD NW,230,GJ,Calgary,Alberta,Canada,2022
7709 BOWNESS RD NW HOUSING,77 ABERDARE RD NE,222,GJ,Calgary,Alberta,Canada,2022
7713 BOWNESS RD NW HOUSING,7801 24 ST SE,191,GJ,Calgary,Alberta,Canada,2022
7717 BOWNESS RD NW HOUSING,7805 24 ST SE,195,GJ,Calgary,Alberta,Canada,2022
7721 BOWNESS RD NW HOUSING,7809 24 ST SE,178,GJ,Calgary,Alberta,Canada,2022
77 ABERDARE RD NE HOUSING,7813 24 ST SE,88,GJ,Calgary,Alberta,Canada,2022
7801 & 7803 24 ST SE HOUSING,7817 24 ST SE,138,GJ,Calgary,Alberta,Canada,2022
7805 & 7807 24 ST SE HOUSING,7821 24 ST SE,102,GJ,Calgary,Alberta,Canada,2022
7809 & 7811 24 ST SE HOUSING,78 CASTLEDALE WY NE,164,GJ,Calgary,Alberta,Canada,2022
7813 & 7815 24 ST SE HOUSING,80 ERIN MOUNT CR SE,136,GJ,Calgary,Alberta,Canada,2022
7817 & 7819 24 ST SE HOUSING,84 DEER RIDGE WY SE,162,GJ,Calgary,Alberta,Canada,2022
7821 & 7823 24 ST SE HOUSING,83 ABALONE WY NE,189,GJ,Calgary,Alberta,Canada,2022
78 CASTLEDALE WY NE HOUSING,83 ERIN WOODS PL SE,104,GJ,Calgary,Alberta,Canada,2022
80-84 ERIN MOUNT CR SE HOUSING,8402 CENTRE ST NE,235,GJ,Calgary,Alberta,Canada,2022
#8-13 7000 RANCHERO RD NW HOUSING,8519 BOWNESS RD NW,429,GJ,Calgary,Alberta,Canada,2022
82 & 84 DEER RIDGE WY SE HOUSING,88 DEER RIDGE WY SE,143,GJ,Calgary,Alberta,Canada,2022
83 ABALONE WY NE HOUSING,86 ERIN MOUNT CR SE,85,GJ,Calgary,Alberta,Canada,2022
83 ERIN WOODS PL SE HOUSING,86 ERIN RIDGE RD SE,66,GJ,Calgary,Alberta,Canada,2022
8402 & 8404 CENTRE ST NE HOUSING,87 ABINGDON WY NE,253,GJ,Calgary,Alberta,Canada,2022
8519 BOWNESS RD NW HOUSING,89 FALWORTH WY NE,197,GJ,Calgary,Alberta,Canada,2022
86 & 88 DEER RIDGE WY SE HOUSING,92 ERIN RIDGE RD SE,237,GJ,Calgary,Alberta,Canada,2022
86-92 ERIN MOUNT CR SE HOUSING,96 CASTLEDALE WY NE,308,GJ,Calgary,Alberta,Canada,2022
86 ERIN RIDGE RD SE HOUSING,9960 BONAVENTURE DR SE,145,GJ,Calgary,Alberta,Canada,2022
87 ABINGDON WY NE HOUSING,9 ERIN RIDGE RD SE,94,GJ,Calgary,Alberta,Canada,2022
89 FALWORTH WY NE HOUSING,159 ABALONE CR NE,137,GJ,Calgary,Alberta,Canada,2022
92 ERIN RIDGE RD SE HOUSING,360 40 AV NW,102,GJ,Calgary,Alberta,Canada,2022
96 CASTLEDALE WY NE HOUSING,83 APPLEWOOD DR SE,80,GJ,Calgary,Alberta,Canada,2022
9960 BONAVENTURE DR SE HOUSING,15 4 ST NE,1567,GJ,Calgary,Alberta,Canada,2022
9 ERIN RIDGE RD SE HOUSING,14812 BANNISTER RD SE,119,GJ,Calgary,Alberta,Canada,2022
ABBEYDALE 3,1330 BERKLEY DR NW,1352,GJ,Calgary,Alberta,Canada,2022
ALBERTA HOUSING PROJECT,736 MCDOUGALL CO NE,716,GJ,Calgary,Alberta,Canada,2022
APPLEWOOD LANE,2375 162 AV SW,3982,GJ,Calgary,Alberta,Canada,2022
ARMOUR BLOCK,2611 106 AV SW,1984,GJ,Calgary,Alberta,Canada,2022
BANNISTER MANOR,1820 14 AV NE,4538,GJ,Calgary,Alberta,Canada,2022
BEDDINGTON PHASE 2,6624 CENTRE ST SE,4074,GJ,Calgary,Alberta,Canada,2022
BRIDGELAND PLACE,2425 69 AV SE,11457,GJ,Calgary,Alberta,Canada,2022
BRIDLEWOOD AFFORDABLE HOUSING,48 MCHUGH CO NE,223,GJ,Calgary,Alberta,Canada,2022
CEDARBRAE 2,123 DEERFIELD DR SE,1714,GJ,Calgary,Alberta,Canada,2022
CEDAR COURT GARDENS,55 DEERPOINT RD SE,1869,GJ,Calgary,Alberta,Canada,2022
CHC SOUTH DISTRICT OFFICE,26 CASTLERIDGE DR NE,1153,GJ,Calgary,Alberta,Canada,2022
CRESTWOOD AFFORDABLE HOUSING,55 EDGEBURN CR NW,3653,GJ,Calgary,Alberta,Canada,2022
CROSSROADS GARDENS - 48 MCHUGH CO NE,12 ERIN DALE CR SE,1023,GJ,Calgary,Alberta,Canada,2022
DEERFIELD VILLAS,293 ERIN WOODS DR SE,1701,GJ,Calgary,Alberta,Canada,2022
DEERPOINT GARDENS,1260 FALCONRIDGE DR NE,2981,GJ,Calgary,Alberta,Canada,2022
DUPLEX - 26 & 28 CASTLERIDGE DR NE,3805 47 ST SW,190,GJ,Calgary,Alberta,Canada,2022
EDGEBURN GARDENS,5320 35 AV SW,7163,GJ,Calgary,Alberta,Canada,2022
ERINDALE COURT,3206 30A AV SE,110,GJ,Calgary,Alberta,Canada,2022
ERIN WOODS,5238 19 AV NW,5513,GJ,Calgary,Alberta,Canada,2022
FALCONRIDGE TOWNHOUSES,7519 BOWNESS RD NW,3820,GJ,Calgary,Alberta,Canada,2022
GLENBROOK CO-OP COURT - 3805 47 ST SW,2029 36 ST SE,2364,GJ,Calgary,Alberta,Canada,2022
GLENBROOK CO-OP COURT - 3905 47 ST SW,1636 16A ST SE,1895,GJ,Calgary,Alberta,Canada,2022
GLENBROOK HOUSING,4405 RICHARDSON WY SW,3878,GJ,Calgary,Alberta,Canada,2022
INACTIVE - 3206 30A AV SE HOUSING,4414 RICHARDSON RD SW,118,GJ,Calgary,Alberta,Canada,2022
INACTIVE - 5238 19 AV NW HOUSING,4433 RICHARDSON WY SW,108,GJ,Calgary,Alberta,Canada,2022
INACTIVE - 7517 BOWNESS RD NW HOUSING,4448 RICHARDSON RD SW,148,GJ,Calgary,Alberta,Canada,2022
INACTIVE - RESIDENTIAL - 2029 36 ST SE,4467 RICHARDSON WY SW,189,GJ,Calgary,Alberta,Canada,2022
INGLEWOOD TOWNHOUSES,4478 RICHARDSON RD SW,1395,GJ,Calgary,Alberta,Canada,2022
LINCOLN PARK - 4405-4431 RICHARDSON WY SW HOUSING,4501 RICHARDSON WY SW,558,GJ,Calgary,Alberta,Canada,2022
LINCOLN PARK - 4414-4440 RICHARDSON RD SW HOUSING,4514 RICHARDSON RD SW,510,GJ,Calgary,Alberta,Canada,2022
LINCOLN PARK - 4433-4463 RICHARDSON WY SW HOUSING,4538 RICHARDSON RD SW,738,GJ,Calgary,Alberta,Canada,2022
LINCOLN PARK - 4448-4470 RICHARDSON RD SW HOUSING,1719 10 ST SW,569,GJ,Calgary,Alberta,Canada,2022
LINCOLN PARK - 4467-4497 RICHARDSON WY SW HOUSING,872 4 AV SW,556,GJ,Calgary,Alberta,Canada,2022
LINCOLN PARK - 4478-4488 RICHARDSON RD SW HOUSING,400 MACEWAN DR NW,223,GJ,Calgary,Alberta,Canada,2022
LINCOLN PARK - 4501-4523 RICHARDSON WY SW HOUSING,120 MCKENNA CR SE,228,GJ,Calgary,Alberta,Canada,2022
LINCOLN PARK - 4514-4536 RICHARDSON RD SW HOUSING,3500 VARSITY DR NW,396,GJ,Calgary,Alberta,Canada,2022
LINCOLN PARK - 4538-4564 RICHARDSON RD SW HOUSING,4525 MONTGOMERY AV NW,223,GJ,Calgary,Alberta,Canada,2022
LONDON HOUSE,1121 15 AV SW,665,GJ,Calgary,Alberta,Canada,2022
LOUISE STATION,2525 98 AV SW,4673,GJ,Calgary,Alberta,Canada,2022
MACEWAN TERRACE,1440 52 ST SE,5087,GJ,Calgary,Alberta,Canada,2022
MCKENNA LANE,107 PINEHILL PL NE,4175,GJ,Calgary,Alberta,Canada,2022
MCLAURIN VILLAGE,112 PINEHILL PL NE,90,GJ,Calgary,Alberta,Canada,2022
MONTGOMERY HOUSING,119 PINEHILL PL NE,4176,GJ,Calgary,Alberta,Canada,2022
MONTREZ,1001 5919 24 AV NE,3827,GJ,Calgary,Alberta,Canada,2022
OAKRIDGE TOWNHOUSES,102 5919 24 AV NE,2237,GJ,Calgary,Alberta,Canada,2022
PENBROOKE 1 HOUSING,1101 5919 24 AV NE,2026,GJ,Calgary,Alberta,Canada,2022
PINEHILL GARDENS - 107-117 PINEHILL PL NE HOUSING,1201 5919 24 AV NE,592,GJ,Calgary,Alberta,Canada,2022
PINEHILL GARDENS - 112-120 PINEHILL PL NE HOUSING,1401 5919 24 AV NE,612,GJ,Calgary,Alberta,Canada,2022
PINEHILL GARDENS - 119 PINEHILL PL NE HOUSING,1501 5919 24 AV NE,1547,GJ,Calgary,Alberta,Canada,2022
PINEWOOD PARK - #1001-1011 5919 24 AV NE HOUSING,1601 5919 24 AV NE,530,GJ,Calgary,Alberta,Canada,2022
PINEWOOD PARK - #102-108 5919 24 AV NE HOUSING,1701 5919 24 AV NE,261,GJ,Calgary,Alberta,Canada,2022
PINEWOOD PARK - #1101-1107 5919 24 AV NE HOUSING,1801 5919 24 AV NE,332,GJ,Calgary,Alberta,Canada,2022
PINEWOOD PARK - #1201-1207 5919 24 AV NE HOUSING,202 5920 22 AV NE,326,GJ,Calgary,Alberta,Canada,2022
PINEWOOD PARK - #1401-1411 5919 24 AV NE HOUSING,302 5920 22 AV NE,468,GJ,Calgary,Alberta,Canada,2022
PINEWOOD PARK - #1501-1507 5919 24 AV NE HOUSING,502 5920 22 AV NE,323,GJ,Calgary,Alberta,Canada,2022
PINEWOOD PARK - #1601-1607 5919 24 AV NE HOUSING,5919 24 AV NE,257,GJ,Calgary,Alberta,Canada,2022
PINEWOOD PARK - #1701-1711 5919 24 AV NE HOUSING,5920 22 AV NE,456,GJ,Calgary,Alberta,Canada,2022
PINEWOOD PARK - #1801-1807 5919 24 AV NE HOUSING,602 5920 22 AV NE,349,GJ,Calgary,Alberta,Canada,2022
